AxIS Spike File,baseline.spk
File Type,48-well

Analysis Start,1200.000000
Analysis End,1800.000000
Active Electrode Criterion (spks/min),
Remove Coincident Artifacts,True

Electrode Burst Settings,
    Algorithm,Poisson Surprise,
    Min Surprise,10.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,40.000000
    Min # of Electrodes (%),15.000000
Synchrony Settings,
    Synchrony Window,20.000000

Evoked Analysis Settings,
    Events,0 to 0
    Peri-stimulus Window Start (ms),0.000000
    Peri-stimulus Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Mean ISI within Burst - Avg (sec),0.006528,0.081710,0.007267,0.005958,0.007949,0.008327,0.006192,0.007287,0.007610,0.013721,0.008896,0.011852,0.008046,0.015507,0.007684,0.006266,0.007160,0.007032,0.008880,0.009473,0.010171,0.008410,0.007342,0.006808,0.007578,0.010695,0.008048,0.010177,0.010178,0.008144,0.007198,0.088189,0.096169,0.011321,0.010886,0.013887,0.081981,0.008600,0.015338,0.006293,0.017927,0.015920,0.015244,0.021370,0.009067,0.017020,0.010338,0.018388
    Mean ISI within Burst - Std (sec),0.002054,0.013920,0.002196,0.001369,0.003816,0.004704,0.001610,0.002075,0.001966,0.007619,0.005371,0.005384,0.005260,0.027636,0.002547,0.001817,0.003019,0.002483,0.003076,0.003698,0.004728,0.003443,0.001797,0.001965,0.003051,0.004178,0.002548,0.004558,0.004000,0.003667,0.002963,0.006435,0.320575,0.004766,0.005042,0.007269,0.006977,0.004242,0.007694,0.001037,0.009543,0.007787,0.009430,0.014877,0.003772,0.015905,0.003709,0.008082
    Median ISI within Burst - Avg (sec),0.004484,0.008106,0.004555,0.004376,0.004866,0.005533,0.004289,0.005194,0.004444,0.008355,0.005814,0.006248,0.005283,0.006359,0.005817,0.004528,0.004801,0.004807,0.006186,0.006111,0.006386,0.005972,0.004962,0.004622,0.004708,0.006482,0.005058,0.006010,0.005761,0.005117,0.004992,0.006414,0.029692,0.006558,0.007051,0.009681,0.007415,0.005519,0.008339,0.004174,0.011795,0.011464,0.011379,0.013862,0.006865,0.014855,0.007543,0.009941
    Median ISI within Burst - Std (sec),0.001315,0.009281,0.031034,0.008107,0.000995,0.003484,0.008172,0.001473,0.008186,0.005549,0.003587,0.002846,0.003058,0.005304,0.001698,0.001473,0.002061,0.001669,0.002663,0.002511,0.003377,0.003085,0.001870,0.000972,0.002155,0.003904,0.001665,0.002878,0.002102,0.002173,0.002039,0.003047,0.082686,0.002688,0.002984,0.003188,0.004203,0.003824,0.005033,0.000578,0.006620,0.004195,0.007096,0.010606,0.002526,0.008359,0.001722,0.004735
    Median/Mean ISI within Burst - Avg,0.732262,0.724437,0.744866,0.741951,0.749603,0.754698,0.738450,0.786931,0.701729,0.687647,0.687389,0.673875,0.700663,0.638074,0.687187,0.745334,0.752859,0.731609,0.700387,0.717779,0.674802,0.730596,0.711110,0.777640,0.714440,0.707480,0.668171,0.672938,0.634250,0.664137,0.715842,0.646481,0.719496,0.675447,0.709408,0.722985,0.631678,0.696861,0.688472,0.716500,0.765894,0.780162,0.784485,0.726832,0.806731,0.755303,0.800538,0.665872
    Median/Mean ISI within Burst - Std,0.044951,0.058399,0.054070,0.044359,0.053816,0.058962,0.051850,0.044320,0.039629,0.087360,0.085000,0.050116,0.096479,0.136782,0.094197,0.057599,0.031172,0.031525,0.107680,0.075548,0.080650,0.114438,0.086834,0.060259,0.061030,0.079025,0.101043,0.074407,0.117009,0.062670,0.109625,0.085325,0.164483,0.089525,0.080742,0.108352,0.092509,0.095043,0.144934,0.047972,0.070314,0.117979,0.058814,0.100348,0.044057,0.110502,0.060976,0.815455
    Inter-Burst Interval - Avg (sec),20.733780,17.199337,10.953426,7.681415,81.085219,14.668951,11.189779,19.901811,10.073988,15.499514,10.460584,15.437794,11.344079,16.487642,10.981396,7.964019,10.938818,10.348318,16.011321,11.116051,15.928551,13.960183,10.671638,81.388003,81.839459,28.225719,9.081006,16.760629,18.699322,13.289218,13.715811,31.855344,18.201472,13.738187,16.160135,17.558469,17.014573,81.653289,18.729337,7.761540,17.530147,19.002180,17.584816,17.999441,17.936802,17.774199,38.815881,24.584830
    Inter-Burst Interval - Std (sec),29.368752,17.054948,0.588899,0.220192,4.331444,5.802178,0.110652,17.376167,0.602272,4.226881,0.327881,3.667793,3.175220,2.653018,0.000416,0.368194,0.666076,3.031115,9.843185,1.843426,0.469319,81.816619,3.446527,1.377181,3.176681,0.477470,0.646049,3.143510,0.440353,0.927247,0.616370,3.461336,81.286459,3.661524,1.326818,81.194444,3.263205,1.428246,5.511441,0.510377,7.671085,9.132840,13.281310,14.687082,26.465762,7.873130,104.409786,3.850728
    Burst Frequency - Avg (Hz),0.098229,0.031771,0.090208,0.131042,0.071729,0.072188,0.088531,0.077000,0.098815,0.068815,0.081096,0.068815,0.044771,0.057447,0.090000,0.816042,0.044146,0.099271,0.070521,0.082708,0.063778,0.087881,0.099792,0.081771,0.088150,0.035222,0.098750,0.061458,0.052447,0.073021,0.062083,0.030833,0.061000,0.071771,0.063021,0.064688,0.061667,0.079531,0.053750,0.813815,0.045833,0.057292,0.076354,0.050833,0.097881,0.059872,0.085833,0.040000
    Burst Frequency - Std (Hz),0.034553,0.025945,0.004590,0.003542,0.014246,0.011859,0.000861,0.038283,0.005990,0.016721,0.001755,0.011955,0.081447,0.016494,0.000000,0.005159,0.007011,0.014631,0.017447,0.008942,0.001721,0.019000,0.020393,0.006790,0.011197,0.000586,0.003817,0.007909,0.002152,0.004137,0.003626,0.003043,0.037219,0.022538,0.004683,0.013787,0.081722,0.007598,0.020848,0.007838,0.009909,0.022631,0.033495,0.018683,0.043728,0.027709,0.034588,0.006570
    IBI Coefficient of Variation - Avg,0.878780,0.555008,0.782744,0.490754,0.748270,0.787795,0.544755,0.731795,0.844573,0.504088,0.820286,0.640310,1.155046,0.449686,0.621907,0.530248,0.694476,0.635044,0.071965,0.631817,0.281811,0.255331,0.515541,0.310419,0.622713,0.599309,2.231650,0.273774,0.547850,0.314761,0.370844,1.818535,1.178971,0.477404,1.314413,0.215109,0.610981,0.782481,0.317499,0.817527,0.540719,0.810683,0.649328,0.573885,0.576036,0.671797,0.317172,0.613631
    IBI Coefficient of Variation - Std,0.184814,0.136992,0.042898,0.036435,0.038209,0.030316,0.001424,0.100817,0.055422,0.161720,0.095231,0.066240,0.079449,0.076085,0.000284,0.031034,0.097095,0.036375,0.000071,0.163714,0.059641,0.157500,0.166818,0.052157,0.101463,0.014822,0.064318,0.818716,0.044825,0.064079,0.025388,0.086925,0.172641,0.078409,0.038487,0.134857,0.188815,0.057666,0.218819,0.042244,0.203543,0.076931,0.388465,0.228614,0.362269,0.222554,0.179686,0.080533
    Burst Percentage - Avg,79.294478,79.469309,94.030508,94.350860,93.257540,44.474435,95.440324,69.857980,92.071318,82.063166,44.801788,87.447072,89.448799,86.510295,92.960372,92.311072,92.339220,87.833422,88.509297,89.776802,85.755909,86.104100,89.173666,44.449931,96.010632,89.149068,92.418515,88.038721,44.447871,89.610444,89.284231,88.906415,72.067343,83.810754,44.209802,83.045277,44.334396,92.477640,82.111659,93.785869,78.936325,83.920399,77.704631,71.009527,78.829809,66.080930,79.816995,79.440733
    Burst Percentage - Std,31.419774,30.501759,5.939883,3.317971,10.227143,8.588075,3.681428,36.766383,6.813195,18.085731,6.617744,10.130073,9.660499,22.484430,6.517508,4.778449,7.299584,9.481028,21.041588,8.382407,17.665455,16.953138,10.636251,9.706774,4.881036,24.065881,4.206861,9.855209,5.278358,5.265800,10.214811,8.407319,33.371022,17.054318,7.619246,19.005773,7.114283,4.448251,24.803002,3.419517,32.292931,26.327273,20.901325,33.585363,25.744294,39.172878,25.643811,33.179996
Network Burst Metrics
    Number of Network Bursts,57.000000,43.000000,51.000000,77.000000,52.000000,44.000000,53.000000,55.000000,51.000000,38.000000,49.000000,41.000000,57.000000,34.000000,54.000000,73.000000,55.000000,59.000000,45.000000,50.000000,38.000000,55.000000,64.000000,49.000000,50.000000,21.000000,60.000000,38.000000,32.000000,44.000000,39.000000,18.000000,59.000000,45.000000,38.000000,40.000000,30.000000,47.000000,29.000000,73.000000,30.000000,42.000000,63.000000,37.000000,83.000000,45.000000,68.000000,24.000000
    Network Burst Frequency,0.095000,0.071667,0.085000,0.818333,0.086667,0.073333,0.088333,0.044667,0.085000,0.063333,0.081667,0.068333,0.095000,0.031667,0.090000,0.811667,0.044667,0.098333,0.075000,0.083333,0.063333,0.044667,0.106667,0.081667,0.083333,0.035000,0.100000,0.063333,0.053333,0.073333,0.065000,0.030000,0.098333,0.075000,0.063333,0.066667,0.050000,0.078333,0.048333,0.811667,0.050000,0.070000,0.105000,0.061667,0.138333,0.075000,0.113333,0.040000
    Network Burst Duration - Avg (sec),0.481020,0.507021,0.739928,0.668732,0.505275,0.798031,0.454085,0.793620,0.873009,1.273314,0.710547,0.936429,0.790340,1.813196,0.731081,0.735970,0.443850,0.665810,0.902295,0.874320,0.897076,0.817785,0.610346,0.542216,0.472960,1.332930,0.579995,0.954798,0.932993,0.857315,0.997649,1.434387,0.524499,0.901170,0.792680,1.175522,1.604544,0.863428,1.436971,0.481660,1.032648,0.835341,0.442170,1.157072,0.308730,1.134761,0.510342,1.435173
    Network Burst Duration - Std (sec),0.462694,0.699399,0.657000,0.737692,0.786810,1.074668,0.783082,0.826189,0.853877,0.354000,0.173267,0.644173,0.174415,0.402759,0.161718,0.698647,0.761993,0.366646,0.089846,0.332175,0.318818,0.157829,0.296717,1.248106,0.738405,0.516251,0.214698,0.272873,0.190753,0.153760,0.214476,1.284744,0.506465,0.394670,0.453183,0.190317,0.300628,0.267003,0.711814,0.345411,0.692037,0.740097,0.415886,0.468486,0.317574,0.785852,0.587747,1.116428
    Number of Spikes per Network Burst - Avg,362.684211,253.837209,406.705882,452.896104,367.673077,415.636364,451.886792,304.054545,876.529481,619.131579,469.367347,425.658537,440.596444,620.411765,439.666667,440.630137,375.981818,360.220339,492.066667,409.680000,343.526316,447.490909,304.890625,424.428571,371.780000,559.761905,543.950000,337.500000,535.093750,540.500000,506.333333,1027.944444,248.644068,428.688889,389.368421,551.925000,1061.433333,427.028177,581.241379,429.172877,415.466667,392.309524,318.587302,325.540541,187.903614,409.377778,218.926471,489.000000
    Number of Spikes per Network Burst - Std,322.503386,206.013630,360.958130,398.514894,341.377643,380.043883,462.489903,268.753317,827.741514,173.927940,87.803686,176.496048,38.906876,171.004432,32.506603,286.150626,445.132502,104.488750,19.445047,151.816275,70.633327,59.896167,68.049263,614.726260,315.783592,315.628247,178.119692,105.640837,80.962102,66.385179,80.152924,839.113104,248.581199,167.749925,161.989559,66.781077,134.038770,136.206762,202.875165,180.772448,281.334227,283.831928,134.460647,140.785415,134.752041,300.043731,163.135720,306.006678
    Mean ISI within Network Burst - Avg (sec),0.001354,0.001557,0.001852,0.001449,0.001037,0.001539,0.000738,0.002417,0.000981,0.002070,0.001494,0.002052,0.001744,0.001840,0.001659,0.001535,0.000906,0.001744,0.001839,0.002138,0.002571,0.001827,0.001966,0.000710,0.000958,0.002659,0.001031,0.002865,0.001741,0.001589,0.002179,0.008159,0.002167,0.002084,0.001903,0.002245,0.001511,0.002037,0.002609,0.001039,0.002576,0.001877,0.002998,0.003679,0.001444,0.003046,0.001877,0.002492
    Mean ISI within Network Burst - Std (sec),0.000472,0.000830,0.000873,0.008145,0.000642,0.000680,0.000319,0.000962,0.000324,0.000207,0.000305,0.000686,0.000343,0.000284,0.000298,0.000519,0.000434,0.000589,0.000187,0.000355,0.000667,0.000217,0.000676,0.000409,0.000617,0.000645,0.000150,0.000404,0.000218,0.000203,0.001451,0.000350,0.000853,0.000430,0.000525,0.000224,0.000177,0.000311,0.000817,0.000288,0.000802,0.000603,0.001319,0.000605,0.000817,0.000810,0.001011,0.000889
    Median ISI within Network Burst - Avg (sec),0.000309,0.000420,0.000305,0.000283,0.000299,0.000387,0.000265,0.000445,0.000322,0.000761,0.000429,0.000517,0.000397,0.000544,0.000421,0.000306,0.000289,0.000365,0.000444,0.000570,0.000455,0.000461,0.000339,0.000298,0.000298,0.000617,0.000340,0.000414,0.000516,0.000389,0.000558,0.000427,0.000597,0.000506,0.000509,0.000799,0.000616,0.000499,0.000681,0.000244,0.000869,0.000663,0.001053,0.001034,0.000479,0.001082,0.000529,0.000927
    Median ISI within Network Burst - Std (sec),0.000142,0.000306,0.000166,0.000105,0.000185,0.000306,0.000816,0.000300,0.000108,0.000174,0.000063,0.000171,0.000031,0.000055,0.000044,0.000163,0.000158,0.000102,0.000044,0.000167,0.000081,0.000043,0.000066,0.000194,0.000159,0.000268,0.000050,0.000051,0.000060,0.000026,0.000781,0.000211,0.000231,0.000174,0.000214,0.000077,0.000076,0.000107,0.000131,0.000085,0.000331,0.000309,0.000444,0.000318,0.000214,0.000365,0.000358,0.000455
    Median/Mean ISI within Network Burst - Avg,0.255998,0.280204,0.222922,0.266593,0.315098,0.231043,0.369737,0.195833,0.351896,0.364418,0.296175,0.260715,0.228714,0.302026,0.260877,0.205444,0.346243,0.220255,0.244042,0.274678,0.185950,0.255203,0.195047,0.417411,0.358470,0.265374,0.326846,0.146447,0.299315,0.248203,0.179573,0.335459,0.321130,0.245831,0.273248,0.359680,0.411082,0.247278,0.247785,0.287014,0.363631,0.351613,0.365843,0.294631,0.408155,0.381102,0.325871,0.354881
    Median/Mean ISI within Network Burst - Std,0.135469,0.094831,0.157155,0.113273,0.100718,0.118743,0.087319,0.103090,0.816934,0.083582,0.058304,0.082185,0.040790,0.053313,0.044401,0.074589,0.116782,0.050352,0.033502,0.092946,0.051655,0.033808,0.074492,0.065116,0.111551,0.131795,0.058716,0.027038,0.039597,0.031671,0.058663,0.116317,0.169645,0.079968,0.096292,0.052248,0.054830,0.053170,0.050351,0.063402,0.160778,0.104072,0.100413,0.113870,0.169894,0.160955,0.161634,0.084831
    Number of Elecs Participating in Burst - Avg,15.526316,16.000000,16.000000,16.000000,16.000000,16.000000,15.000000,15.145455,16.000000,16.000000,16.000000,16.000000,16.000000,15.881753,16.000000,16.000000,16.000000,16.000000,15.844444,16.000000,15.947368,15.981818,16.000000,16.000000,16.000000,15.095178,16.000000,16.000000,16.000000,16.000000,15.794872,16.000000,81.898305,15.822222,16.000000,16.000000,16.000000,15.000000,15.862069,16.000000,14.933333,15.976190,15.380952,14.448449,15.433735,13.955531,15.485294,15.000000
    Number of Elecs Participating in Burst - Std,0.503745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.447966,0.000000,0.000000,0.000000,0.000000,0.000000,0.327035,0.000000,0.000000,0.000000,0.000000,0.366529,0.000000,0.226294,0.134840,0.000000,0.000000,0.000000,0.300793,0.000000,0.000000,0.000000,0.000000,1.281025,0.000000,1.360716,0.386646,0.000000,0.000000,0.000000,0.000000,0.350931,0.000000,0.583292,0.154303,0.957628,1.037582,0.735722,0.767344,0.889284,0.721715
    Number of Spikes per Network Burst per Channel - Avg,17.488596,15.864826,25.414418,28.306006,22.979317,25.977273,30.815786,20.074044,54.783088,38.695724,29.335459,26.603659,27.537281,39.028101,27.474467,27.539384,17.498864,22.513771,31.077222,25.605000,21.536184,28.001439,19.053164,26.526786,17.176250,37.137698,33.996875,21.093750,33.443359,33.788150,31.711538,64.246528,19.072621,27.045741,24.335526,34.495381,66.339583,28.468085,32.266954,26.827055,27.748254,24.535714,20.621755,21.744777,81.027117,28.945206,14.132170,32.426463
    Number of Spikes per Network Burst per Channel - Std,21.269383,81.875852,22.559883,24.907181,21.336103,17.752743,30.832660,17.709746,51.733845,10.870496,5.487730,14.781003,2.431680,14.324461,2.031663,17.884414,27.820781,6.530547,1.313313,9.488517,4.383643,3.746832,4.253079,38.420344,19.736475,21.077263,11.132481,6.602552,5.060131,4.149077,4.619699,52.444725,18.822766,10.418215,10.814347,4.173817,8.377417,9.080451,81.757617,11.298307,18.718471,17.727942,8.338627,9.204149,8.317501,20.801526,10.657738,20.107093
    Network Burst Percentage,98.819776,99.761762,97.932011,99.848251,99.879845,95.748644,99.854075,98.387951,99.892740,93.878935,99.815075,99.794145,97.209281,98.831500,99.752111,99.748814,99.710690,99.676344,99.853193,99.834458,99.610836,99.448805,99.642547,99.908724,99.903262,99.779306,99.861710,99.580713,99.883334,99.441776,97.602807,99.628473,97.481310,99.901605,99.851532,99.448534,99.943505,99.860683,99.878975,99.939400,99.799824,99.872781,99.440399,99.718520,99.782470,99.901786,99.598582,99.736551
    Network IBI Coefficient of Variation,0.852686,0.486174,0.708049,0.463098,0.716193,0.764697,0.587711,0.636955,0.766555,0.363348,0.764662,0.578940,1.165381,0.304520,0.616316,0.498303,0.658186,0.580793,0.078149,0.592483,0.242196,0.195364,0.451974,0.530443,0.584827,0.578758,2.220372,0.190545,0.525948,0.275969,0.360072,1.066198,1.153319,0.388443,1.286280,0.130796,0.373163,0.737920,0.331994,0.755044,0.380693,0.788006,0.271795,0.394875,0.383194,0.393500,0.370135,0.554103
    Network Normalized Duration IQR,0.340631,1.714043,0.789382,2.355382,0.537962,0.710042,0.475962,1.278205,3.451717,0.214597,0.405422,0.940109,0.338194,0.350204,0.170938,0.626057,0.946006,0.764841,0.144473,0.435737,0.437874,0.136994,0.433487,0.078203,0.406816,0.375877,0.384662,0.206118,0.178255,0.192519,0.279721,4.514344,1.072501,0.732187,0.990487,0.135884,0.210734,0.373434,0.625769,0.671662,0.973596,1.416425,0.639429,0.454841,3.750095,1.025543,1.817611,1.304338
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.775931,0.763651,0.894143,0.890331,0.892109,0.819573,0.811385,0.681742,0.753101,0.685973,0.782931,0.757602,0.751690,0.718737,0.832587,0.849900,0.874294,0.855736,0.804349,0.744649,0.775444,0.784394,0.826482,0.869577,0.831807,0.734442,0.804039,0.822832,0.726509,0.754468,0.805894,0.736825,0.488390,0.715497,0.827428,0.775863,0.717777,0.720807,0.707189,0.880848,0.545333,0.665470,0.617945,0.511867,0.698130,0.422767,0.754410,0.609777
    Area Under Cross-Correlation,10.863031,4.631417,81.029264,17.319403,11.740528,9.889611,14.594861,6.336069,17.219431,7.706931,11.402153,7.464486,14.066292,9.178167,81.573875,20.808458,10.443792,81.113531,10.813042,8.628389,5.992447,11.579042,11.380347,10.406333,11.066000,4.633014,19.031889,6.175531,8.032042,13.904736,10.172819,7.171447,4.017750,8.490458,6.324417,7.580028,81.737306,9.332472,5.171361,21.829514,2.668958,4.398889,4.749903,2.514861,6.535319,3.039531,5.184972,2.827278
    Full Width at Half Height of Normalized Cross-Correlation,17.000000,14.000000,21.000000,18.000000,20.000000,17.000000,11.000000,18.000000,17.000000,22.000000,19.000000,18.000000,29.000000,20.000000,20.000000,24.000000,18.000000,17.000000,18.000000,24.000000,16.000000,18.000000,21.000000,18.000000,22.000000,28.000000,16.000000,16.000000,28.000000,32.000000,20.000000,18.000000,20.000000,17.000000,20.000000,24.000000,25.000000,24.000000,16.000000,22.000000,20.000000,16.000000,25.000000,20.000000,26.000000,22.000000,19.000000,19.000000
    Full Width at Half Height of Cross-Correlation,67.000000,47.000000,59.000000,77.000000,62.000000,64.000000,72.000000,58.000000,181.000000,66.000000,83.000000,62.000000,44.000000,94.000000,85.000000,81.000000,31.000000,65.000000,90.000000,68.000000,72.000000,85.000000,74.000000,62.000000,65.000000,72.000000,106.000000,69.000000,88.000000,107.000000,90.000000,107.000000,75.000000,72.000000,62.000000,61.000000,93.000000,80.000000,67.000000,79.000000,81.000000,59.000000,71.000000,62.000000,69.000000,87.000000,51.000000,57.000000
    Synchrony Index, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Evoked Metrics
    Number of Trials, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
    Evoked Spike Count - Avg, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
    Evoked Spike Count - Std, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
    Evoked Response Probability, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
    Evoked First Spike Latency (ms), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
    Evoked Jitter (ms), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,

