AxIS Spike File,exposure.spk
File Type,48-well

Analysis Start,1500.000000
Analysis End,2100.000000
Active Electrode Criterion (spks/min),
Remove Coincident Artifacts,True

Electrode Burst Settings,
    Algorithm,Poisson Surprise,
    Min Surprise,100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,40.000000
    Min # of Electrodes (%),15.000000
Synchrony Settings,
    Synchrony Window,20.000000

Evoked Analysis Settings,
    Events,0 to 0
    Peri-stimulus Window Start (ms),0.000000
    Peri-stimulus Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes per Burst - Avg,26.527811,17.521575,18.848249,27.076797,91.303740,20.480255,25.618503,14.940399,31.160643,20.856008,22.117205,18.683444,22.210468,25.790920,22.378491,21.497214,91.752496,20.018396,25.451122,22.008601,18.246914,22.564024,18.071437,18.146901,91.223527,22.679317,35.239532,18.184991,28.512614,28.621554,25.774252,24.388581,15.435210,91.153178,18.732086,91.629909,24.081253,24.068725,18.916001,20.982304,18.107700,20.838582,18.589172,91.794208,15.902382,25.617186,81.016889,16.494852
    Number of Spikes per Burst - Std,9.528655,8.928066,6.084381,6.660843,7.211067,8.695917,7.683437,9.849788,12.983928,10.323449,10.553107,12.201040,9.422391,81.039820,8.361825,10.071066,8.911268,8.000299,12.778181,12.721731,8.649833,10.427898,7.597708,6.918949,4.907187,11.528823,18.453993,9.591749,15.994529,11.852891,12.655354,10.735303,8.330674,7.448181,8.518338,5.865524,10.223791,12.951089,10.265758,5.309291,10.462431,11.027907,12.526237,11.555943,6.140306,15.210164,5.286524,7.121291
    Mean ISI within Burst - Avg (sec),0.007275,0.009129,0.007443,0.005902,0.007629,0.007697,0.006562,0.009100,0.007039,0.012107,0.009813,0.008802,0.007795,0.007601,0.007595,0.006071,0.006123,0.006840,0.007115,0.009748,0.007344,0.008230,0.007574,0.005597,0.005525,0.005757,0.009701,0.007876,0.008375,0.007666,0.006487,0.005736,0.009582,0.007771,0.008279,0.007940,0.005955,0.007333,0.008902,0.005020,0.011581,0.014078,0.091114,0.016876,0.009090,0.015037,0.008106,0.009296
    Mean ISI within Burst - Std (sec),0.004436,0.003605,0.001873,0.001281,0.002562,0.003979,0.001549,0.009015,0.002125,0.009504,0.004961,0.004586,0.002731,0.003231,0.001681,0.001824,0.002456,0.009916,0.002348,0.003642,0.002502,0.004745,0.002721,0.001052,0.009128,0.001578,0.009398,0.003239,0.002611,0.009091,0.002215,0.001248,0.005587,0.003222,0.003428,0.002697,0.001230,0.003752,0.003055,0.000756,0.006085,0.009293,0.005345,0.014264,0.003911,0.009980,0.002654,0.003912
    Median ISI within Burst - Avg (sec),0.004949,0.006755,0.005540,0.004474,0.005857,0.006066,0.004952,0.006955,0.004950,0.009299,0.006675,0.007058,0.005901,0.005840,0.005891,0.004690,0.004521,0.004493,0.005122,0.005535,0.005117,0.005820,0.005120,0.004210,0.009025,0.004265,0.004733,0.005177,0.004811,0.005008,0.004357,0.009060,0.006642,0.005329,0.005444,0.005815,0.009046,0.004939,0.005321,0.003829,0.008907,0.009733,0.008857,0.011171,0.006229,0.010518,0.006265,0.006153
    Median ISI within Burst - Std (sec),0.002682,0.002380,0.001479,0.001072,0.002379,0.003615,0.001242,0.003438,0.001642,0.007456,0.003257,0.004396,0.002259,0.002796,0.001615,0.001605,0.001798,0.001817,0.001798,0.009911,0.001571,0.003682,0.002175,0.000921,0.001220,0.001117,0.002891,0.001846,0.009110,0.002504,0.008124,0.000847,0.003403,0.002058,0.009101,0.009139,0.000698,0.002822,0.002047,0.000537,0.005104,0.005284,0.003691,0.008915,0.002249,0.006521,0.001612,0.002431
    Median/Mean ISI within Burst - Avg,0.715951,0.752390,0.758243,0.759431,0.758505,0.778854,0.761544,0.778115,0.722905,0.766817,0.751530,0.789649,0.768918,0.762909,0.771292,0.777255,0.792284,0.723661,0.738352,0.683773,0.724754,0.735845,0.721855,0.768991,0.775248,0.770888,0.521809,0.696177,0.655987,0.686093,0.694623,0.773434,0.779586,0.759681,0.723352,0.787443,0.720336,0.723784,0.791614,0.789078,0.820974,0.791244,0.787334,0.757847,0.718166,0.792181,0.824011,0.742753
    Median/Mean ISI within Burst - Std,0.087975,0.057534,0.049250,0.037823,0.060871,0.053265,0.047888,0.070691,0.049234,0.059698,0.062891,0.099048,0.050021,0.046520,0.095860,0.052601,0.090814,0.059902,0.125352,0.074544,0.048867,0.052747,0.061643,0.039511,0.035772,0.062774,0.110388,0.052487,0.097822,0.059817,0.070485,0.049476,0.059273,0.072753,0.065995,0.058735,0.068391,0.074658,0.065897,0.038147,0.050727,0.049835,0.045552,0.062212,0.073040,0.053291,0.067435,0.061279
    Inter-Burst Interval - Avg (sec),4.564716,12.391249,4.384591,3.582809,6.480174,6.891913,3.794705,10.236648,4.204398,20.842503,6.046287,21.120937,4.695775,8.371825,5.689854,4.543991,6.087545,9.580395,7.726909,11.433217,10.459116,9.621454,10.409088,6.475281,6.677508,9.916658,14.725025,12.966962,14.809843,10.909345,10.458699,7.580024,29.000686,20.183891,10.581526,7.815907,7.431845,9.281430,20.629942,5.158166,9.694820,16.268174,81.926810,14.549049,11.660693,81.480891,11.397588,10.403154
    Inter-Burst Interval - Std (sec),3.888118,21.335929,0.680222,0.075510,8.118999,6.625789,0.206901,11.501509,0.143126,57.642106,1.970529,55.390294,1.382452,12.527994,0.283755,1.060553,1.312120,3.228265,0.000106,3.685933,10.791334,3.872187,6.905644,3.832343,2.869023,0.278177,2.748181,2.337462,0.552152,0.765928,1.077890,0.888015,59.985208,40.532839,1.012586,1.075767,1.061550,1.084486,31.425406,0.314515,4.838164,81.942526,12.673789,8.909597,81.488070,9.346052,11.925420,5.702521
    Burst Frequency - Avg (Hz),0.273205,0.208462,0.230833,0.280208,0.202500,0.217500,0.252667,0.155256,0.238229,0.159792,0.175381,0.168542,0.222604,0.181556,0.177083,0.226042,0.169052,0.107917,0.129179,0.092881,0.123222,0.109167,0.115907,0.172881,0.160907,0.109111,0.069375,0.077500,0.068229,0.099179,0.094688,0.812083,0.097976,0.096667,0.094271,0.128667,0.815625,0.107556,0.077396,0.991067,0.911405,0.089479,0.098021,0.086910,0.911375,0.098889,0.126146,0.101556
    Burst Frequency - Std (Hz),0.080607,0.812777,0.029684,0.005833,0.073904,0.082291,0.012602,0.115990,0.007805,0.072625,0.035902,0.079252,0.034042,0.050617,0.008062,0.030839,0.022860,0.018574,0.032083,0.017015,0.028733,0.018679,0.035100,0.039077,0.027274,0.003204,0.009792,0.009718,0.002685,0.005207,0.007077,0.010980,0.054094,0.029408,0.008027,0.016752,0.089112,0.012033,0.025582,0.010523,0.038105,0.037745,0.035737,0.033098,0.042609,0.044988,0.049616,0.038604
    IBI Coefficient of Variation - Avg,0.285011,0.524735,0.298807,0.210207,0.224318,0.360714,0.252409,0.530015,0.500368,0.252621,0.254483,0.402874,0.288845,0.228228,0.221677,0.368126,0.536147,0.532787,0.159423,0.464731,0.299945,0.287222,0.600628,0.476679,0.404346,0.469207,0.529157,0.275400,0.280703,0.914926,0.258738,0.420261,0.523692,0.486839,0.393604,0.404546,0.230715,0.602485,0.606994,0.443804,0.681676,0.680083,0.746496,0.529718,0.802907,0.646892,0.700379,0.576124
    IBI Coefficient of Variation - Std,0.332295,0.591594,0.814352,0.043984,0.299110,0.422004,0.037816,0.365810,0.024534,0.204529,0.292812,0.266602,0.810807,0.099775,0.047303,0.126031,0.051068,0.098718,0.000073,0.140492,0.918780,0.076209,0.156854,0.086224,0.118743,0.024962,0.107406,0.094823,0.060448,0.092292,0.191911,0.050296,0.176024,0.915103,0.068252,0.087861,0.095227,0.084431,0.120481,0.056640,0.176783,0.813289,0.395991,0.162944,0.309602,0.222966,0.226271,0.108951
    Burst Percentage - Avg,67.014924,53.607024,86.659003,92.534904,83.403876,76.175927,92.546599,45.039764,90.782401,76.260524,84.916598,75.255821,88.374812,79.385102,92.400248,90.283277,92.750267,89.912562,87.880544,87.007952,84.509448,87.311057,85.749494,92.903698,94.885226,89.034470,94.439994,88.597529,94.091144,91.300450,89.808891,93.815279,67.653995,85.605273,93.342890,84.039100,91.975862,92.452916,84.120521,96.003265,71.456891,82.837145,81.990839,70.252365,75.584737,62.216469,79.582953,77.852980
    Burst Percentage - Std,38.279554,44.308718,10.294748,6.996917,29.339429,27.480981,3.305021,90.028004,3.758607,32.860739,11.383816,34.916481,11.930081,30.761253,4.985433,10.026983,6.466754,10.707774,23.183596,11.762052,28.752978,10.518969,91.968532,14.720269,9.053318,24.100908,5.867390,10.358206,4.301498,6.062287,8.849062,5.549979,35.420479,20.365053,5.168065,23.007074,7.646533,5.554655,22.961068,2.205264,29.900204,23.840108,91.716969,32.204683,17.907693,39.889787,25.123044,33.068724
Network Burst Metrics
    Number of Network Bursts,183.000000,179.000000,149.000000,169.000000,891.000000,157.000000,151.000000,170.000000,124.000000,120.000000,116.000000,127.000000,910.000000,911.000000,108.000000,813.000000,106.000000,60.000000,78.000000,51.000000,78.000000,65.000000,65.000000,108.000000,99.000000,64.000000,32.000000,48.000000,90.000000,56.000000,58.000000,77.000000,90.000000,61.000000,55.000000,75.000000,80.000000,58.000000,48.000000,109.000000,105.000000,69.000000,70.000000,62.000000,121.000000,77.000000,100.000000,70.000000
    Network Burst Frequency,0.305000,0.298333,0.248333,0.281667,0.231667,0.261667,0.251667,0.283333,0.206667,0.200000,0.913333,0.211667,0.235000,0.918333,0.180000,0.221667,0.176667,0.100000,0.810000,0.085000,0.810000,0.108333,0.108333,0.180000,0.165000,0.106667,0.053333,0.080000,0.068333,0.093333,0.096667,0.128333,0.150000,0.101667,0.091667,0.125000,0.813333,0.096667,0.080000,0.181667,0.175000,0.115000,0.116667,0.103333,0.201667,0.128333,0.166667,0.116667
    Network Burst Duration - Avg (sec),0.568535,0.401508,0.593244,0.650338,0.590527,0.695929,0.523615,0.535468,0.730226,0.681259,0.650753,0.525099,0.659147,0.591668,0.598770,0.590362,0.308117,0.683371,0.658070,1.040367,0.495734,0.872058,0.525224,0.232916,0.247314,0.746109,1.250540,0.853627,0.707307,0.981369,0.739912,0.573621,0.469051,0.644493,0.526548,0.521450,0.662851,0.855047,0.723435,0.347872,0.391656,0.544232,0.752690,0.951726,0.452962,0.759123,0.407948,0.542288
    Network Burst Duration - Std (sec),0.216403,0.103936,0.271177,0.268701,0.169149,0.214569,0.262391,0.309999,0.509134,0.817531,0.159167,0.303547,0.150377,0.813961,0.165258,0.380733,0.505301,0.783066,0.918121,0.459900,0.392995,0.309744,0.562045,0.494712,0.906790,0.537292,0.388472,0.312606,0.365294,0.218006,0.183534,0.776614,0.321052,0.397335,0.436624,0.559747,0.242004,0.448175,0.715261,0.352798,0.490953,0.704940,0.691335,0.817479,0.272345,0.654208,0.487477,0.686839
    Number of Spikes per Network Burst - Avg,375.431694,233.983240,321.395973,462.053254,317.705036,348.547771,436.450331,186.552990,526.870968,335.316667,378.896552,381.527559,379.312057,901.462185,385.351852,391.518797,330.905660,384.216667,435.820581,443.235294,288.397436,420.907692,360.818462,301.351852,315.151515,367.703125,756.031250,322.090667,489.512915,498.839286,439.982759,432.389610,183.644444,344.262295,330.835264,342.866667,433.650000,429.896552,331.312500,376.091743,209.904762,304.739810,315.000000,299.838710,202.280992,254.428571,918.000000,257.871429
    Number of Spikes per Network Burst - Std,28.798361,16.907090,84.062301,21.922010,14.043645,22.014403,181.514915,33.540757,339.409114,24.855543,21.950291,26.987895,16.888345,16.365909,20.929930,911.314748,318.352181,912.142522,40.476943,159.944064,49.549225,99.962817,149.452843,242.782712,146.839101,178.305577,250.392142,58.866585,114.020420,27.888594,31.964065,905.957967,154.523406,127.280517,108.999620,158.908807,92.770999,910.920273,170.235526,144.384873,186.521554,246.287473,143.007348,214.018935,98.910244,246.909070,124.852391,181.445718
    Mean ISI within Network Burst - Avg (sec),0.001509,0.001724,0.009115,0.001402,0.001709,0.009186,0.001170,0.003224,0.001112,0.001826,0.001718,0.002002,0.001740,0.001440,0.001551,0.001442,0.000736,0.001440,0.001488,0.002315,0.001592,0.002059,0.001525,0.000606,0.000646,0.009127,0.001693,0.002691,0.008158,0.001821,0.001674,0.001202,0.002777,0.001768,0.001768,0.001560,0.001505,0.009152,0.001791,0.000817,0.001684,0.008159,0.002188,0.003042,0.002252,0.003200,0.001714,0.001650
    Mean ISI within Network Burst - Std (sec),0.000590,0.000426,0.000761,0.000553,0.000523,0.000591,0.000390,0.002811,0.000550,0.000335,0.000394,0.000858,0.000378,0.000318,0.000400,0.000553,0.000320,0.000903,0.000339,0.000681,0.001039,0.000529,0.000838,0.000259,0.000355,0.000393,0.000358,0.000452,0.000501,0.000369,0.000346,0.000578,0.000832,0.000673,0.000661,0.000869,0.000377,0.000444,0.001112,0.000469,0.000562,0.000521,0.000904,0.000774,0.000859,0.001238,0.000870,0.000904
    Median ISI within Network Burst - Avg (sec),0.000379,0.000591,0.000462,0.000276,0.000371,0.000364,0.000323,0.000908,0.000350,0.000591,0.000399,0.000456,0.000374,0.000407,0.000381,0.000298,0.000280,0.000310,0.000378,0.000453,0.000375,0.000401,0.000320,0.000262,0.000265,0.000364,0.000330,0.000347,0.000908,0.000351,0.000328,0.000278,0.000515,0.000360,0.000350,0.000449,0.000325,0.000406,0.000388,0.000232,0.000628,0.000495,0.000725,0.000802,0.000671,0.000724,0.000428,0.000470
    Median ISI within Network Burst - Std (sec),0.000039,0.000090,0.000488,0.000039,0.000052,0.000043,0.000044,0.000900,0.000142,0.000068,0.000034,0.000072,0.000039,0.000033,0.000048,0.000067,0.000814,0.000095,0.000053,0.000123,0.000094,0.000074,0.000066,0.000100,0.000128,0.000224,0.000027,0.000038,0.000817,0.000042,0.000044,0.000124,0.000282,0.000140,0.000122,0.000204,0.000055,0.000181,0.000108,0.000181,0.000251,0.000287,0.000386,0.000426,0.000357,0.000337,0.000295,0.000280
    Median/Mean ISI within Network Burst - Avg,0.282349,0.359540,0.233906,0.228336,0.236699,0.915782,0.307652,0.304271,0.328862,0.290524,0.244813,0.255651,0.225451,0.294522,0.259000,0.228053,0.407907,0.265860,0.252501,0.991696,0.297098,0.203683,0.269088,0.449387,0.438068,0.186164,0.203099,0.815315,0.318526,0.918610,0.203168,0.275245,0.209574,0.221072,0.211875,0.323362,0.225387,0.215092,0.267762,0.309087,0.390836,0.366202,0.334952,0.267810,0.391091,0.260400,0.298102,0.311750
    Median/Mean ISI within Network Burst - Std,0.096936,0.084014,0.100925,0.092734,0.076768,0.057517,0.106471,0.104999,0.085867,0.047935,0.056518,0.077211,0.053879,0.061677,0.060331,0.076006,0.126872,0.090123,0.051035,0.036568,0.104747,0.049776,0.112471,0.084849,0.091558,0.084376,0.045281,0.021796,0.059607,0.034628,0.044872,0.123523,0.148355,0.077217,0.065364,0.102710,0.043894,0.052810,0.091526,0.080850,0.123546,0.086914,0.100678,0.124321,0.171435,0.150520,0.166958,0.109012
    Number of Elecs Participating in Burst - Avg,14.874317,15.491620,15.651007,16.000000,15.884892,16.000000,15.000000,14.047059,15.935484,16.000000,16.000000,15.992126,16.000000,15.697479,16.000000,16.000000,16.000000,16.000000,15.743590,16.000000,15.794872,15.984615,16.000000,16.000000,16.000000,15.109375,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,12.766667,15.967281,16.000000,15.866667,16.000000,15.000000,15.875000,15.990826,14.238095,15.985507,15.642857,14.822581,15.223140,81.662338,15.540000,15.028571
    Number of Elecs Participating in Burst - Std,0.652446,0.603070,1.712143,0.000000,0.320306,0.000000,0.000000,2.223627,0.718421,0.000000,0.000000,0.088736,0.000000,0.581457,0.000000,0.000000,0.000000,0.000000,0.439477,0.000000,0.406409,0.124035,0.000000,0.000000,0.000000,0.314576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.593879,0.179556,0.000000,0.445915,0.000000,0.000000,0.334291,0.095783,1.189083,0.120386,0.681765,0.878228,1.020520,0.968047,0.716614,0.833561
    Number of Spikes per Network Burst per Channel - Avg,25.296865,15.911526,20.229267,28.878328,20.007854,21.784236,29.096689,81.298353,39.832157,20.957292,23.681034,91.606266,23.707004,26.237890,24.084491,24.469925,20.681604,24.081542,27.690705,27.702206,18.277671,26.333462,22.508654,18.834491,91.696970,24.344401,47.259153,20.127604,30.594512,31.177455,27.498922,27.024351,14.398905,21.556421,20.677273,21.568470,27.103125,28.659770,20.839015,23.517355,14.422548,91.055616,20.267976,20.991026,81.015271,18.264936,12.696622,17.991751
    Number of Spikes per Network Burst per Channel - Std,2.322991,1.148160,4.817393,1.370126,0.957895,1.375900,7.567661,1.536536,21.166859,1.553471,1.371893,1.697334,1.055522,1.312374,1.308121,7.457172,91.897699,12.008908,2.543289,9.996504,3.240209,6.250289,9.340803,15.173991,9.177444,11.830340,15.649509,3.679162,7.126276,1.743037,1.997754,25.997373,12.267797,7.943282,6.812476,9.908399,5.798187,12.728018,10.586621,9.091081,12.356527,15.387392,9.699748,14.294924,5.931477,17.075442,8.020183,12.121438
    Network Burst Percentage,99.498914,97.752824,97.738591,99.224875,98.501104,96.969804,99.818248,98.838175,99.990785,97.280178,98.525548,99.291806,98.124943,98.230550,99.521737,99.389220,99.923083,99.765205,99.867799,99.770490,99.875683,99.245475,99.901844,99.907908,99.942390,99.898911,99.510530,97.953235,99.875591,99.924882,95.520504,99.709503,91.715221,99.838357,99.529048,99.875714,99.939504,99.752934,99.868124,99.951236,99.850496,99.909722,99.904853,99.796006,99.727010,99.079553,99.158654,96.783014
